Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,41,157.0,53.042,0.833,-1.236,0.918,0.575,19.985,11.044,14.139
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,42,30.0,21.728,0.954,0.852,0.909,0.417,11.476,3.425,6.18
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,43,11.0,9.0,0.989,1.268,0.688,0.407,10.067,1.522,3.742
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,44,41.0,30.45,0.98,1.368,0.804,0.482,16.966,3.355,7.225
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,part,0,38204.0,4267.686,0.12,-0.597,0.748,0.716,279.808,277.781,220.551
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,1,160.0,52.042,0.717,1.287,0.952,0.615,18.165,12.665,14.273
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,2,136.0,55.213,0.922,-1.236,0.872,0.493,22.573,8.722,13.159
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,3,342.0,85.669,0.884,-1.328,0.934,0.5,32.644,15.25,20.867
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,4,263.0,70.835,0.844,-1.372,0.926,0.609,26.615,14.257,18.299
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,5,200.0,60.284,0.833,0.949,0.962,0.56,22.716,12.582,15.958
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,6,66.0,39.456,0.978,0.919,0.88,0.299,20.447,4.298,9.167
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,7,252.0,78.184,0.934,-1.332,0.91,0.48,32.049,11.451,17.912
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,8,388.0,77.598,0.359,0.061,0.96,0.647,24.126,22.514,22.226
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,9,49.0,35.627,0.978,0.577,0.86,0.327,17.353,3.622,7.899
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,10,404.0,83.012,0.539,0.837,0.944,0.622,25.893,21.802,22.68
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,11,392.0,85.355,0.764,0.123,0.933,0.594,29.593,19.08,22.341
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,12,366.0,87.947,0.881,-0.818,0.929,0.435,33.301,15.783,21.587
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,13,494.0,90.669,0.605,0.965,0.952,0.61,29.53,23.507,25.079
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,14,409.0,109.634,0.946,0.202,0.905,0.439,43.418,14.034,22.82
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,15,293.0,94.32,0.965,0.192,0.893,0.476,40.278,10.52,19.315
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,16,18.0,17.621,0.995,-0.397,0.667,0.231,15.092,1.502,4.787
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,17,379.0,90.426,0.896,-1.306,0.924,0.526,35.052,15.594,21.967
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,18,203.0,72.805,0.935,-0.971,0.894,0.376,29.024,10.255,16.077
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,19,629.0,106.326,0.738,-1.325,0.95,0.591,36.419,24.579,28.3
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,20,619.0,113.154,0.894,-1.107,0.941,0.526,44.368,19.855,28.074
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,21,167.0,60.178,0.943,-0.115,0.903,0.619,26.254,8.76,14.582
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,22,258.0,76.977,0.927,0.602,0.908,0.439,31.585,11.831,18.124
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,23,631.0,116.326,0.892,-1.131,0.94,0.524,44.69,20.201,28.345
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,24,446.0,84.426,0.312,-0.223,0.961,0.635,25.71,24.424,23.83
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,25,395.0,89.805,0.848,0.572,0.919,0.531,32.967,17.472,22.426
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,26,376.0,79.598,0.781,0.925,0.954,0.603,28.91,18.051,21.88
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,27,78.0,38.349,0.85,-0.155,0.848,0.52,14.692,7.743,9.966
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,28,459.0,89.841,0.36,0.746,0.939,0.585,26.793,24.998,24.175
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,29,374.0,79.941,0.805,1.544,0.947,0.67,29.531,17.516,21.822
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,30,322.0,81.598,0.889,1.206,0.931,0.53,31.538,14.44,20.248
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,31,118.0,49.249,0.928,-0.278,0.887,0.466,21.492,7.995,12.257
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,32,344.0,82.219,0.832,0.658,0.93,0.531,29.734,16.497,20.928
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,33,388.0,79.841,0.631,-0.475,0.953,0.602,26.631,20.666,22.226
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,34,431.0,85.255,0.555,0.296,0.956,0.594,27.333,22.732,23.426
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,35,299.0,84.912,0.921,0.996,0.917,0.389,33.606,13.108,19.511
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,36,458.0,92.876,0.82,0.994,0.948,0.534,33.9,19.406,24.148
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,37,189.0,61.213,0.896,1.44,0.955,0.636,24.933,11.06,15.513
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,38,107.0,45.835,0.914,-1.219,0.892,0.486,19.217,7.805,11.672
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,39,86.0,44.935,0.961,1.462,0.86,0.558,21.236,5.855,10.464
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,40,201.0,62.835,0.892,1.444,0.953,0.62,25.445,11.519,15.998
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,41,106.0,47.006,0.915,-1.219,0.862,0.482,19.188,7.723,11.617
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_left,void,42,136.0,58.042,0.957,1.329,0.889,0.504,25.641,7.458,13.159
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,part,0,39186.0,4197.632,0.096,-1.169,0.767,0.744,278.352,277.058,223.368
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,1,76.0,34.521,0.838,1.48,0.894,0.633,14.197,7.736,9.837
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,2,88.0,41.314,0.912,-1.416,0.898,0.611,17.545,7.208,10.585
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,3,247.0,80.148,0.946,-1.362,0.898,0.49,33.056,10.694,17.734
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,4,182.0,59.178,0.869,-1.549,0.91,0.609,23.187,11.47,15.223
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,5,115.0,48.87,0.919,0.908,0.927,0.451,20.382,8.053,12.101
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,6,194.0,75.32,0.963,-1.357,0.87,0.426,32.148,8.717,15.717
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,7,352.0,75.598,0.504,0.743,0.946,0.611,23.952,20.693,21.17
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,8,381.0,80.426,0.613,1.087,0.943,0.588,26.132,20.638,22.025
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,9,296.0,76.113,0.802,0.305,0.911,0.556,26.804,16.02,19.413
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,10,377.0,91.705,0.898,-0.915,0.929,0.436,35.182,15.491,21.909
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,11,426.0,84.912,0.693,0.897,0.955,0.565,28.848,20.789,23.289
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,12,254.0,87.113,0.965,0.204,0.879,0.432,37.897,9.882,17.983
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,13,372.0,91.598,0.906,-1.338,0.928,0.529,35.652,15.068,21.763
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,14,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,15,177.0,76.249,0.98,0.196,0.881,0.478,35.294,7.032,15.012
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,16,45.0,33.971,0.983,-0.482,0.804,0.333,17.996,3.321,7.569
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,17,197.0,74.391,0.955,-1.013,0.9,0.358,31.146,9.249,15.838
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,18,594.0,112.326,0.883,-1.14,0.937,0.524,42.756,20.034,27.501
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,19,456.0,87.255,0.854,1.28,0.952,0.639,34.06,17.723,24.096
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,20,6.0,4.207,0.987,-0.146,0.75,0.5,6.903,1.115,2.764
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,21,332.0,82.426,0.886,0.686,0.93,0.512,32.263,14.961,20.56
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,22,584.0,112.083,0.89,-1.193,0.936,0.535,42.895,19.589,27.269
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,23,368.0,78.184,0.578,0.218,0.939,0.62,25.276,20.632,21.646
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,24,479.0,94.841,0.755,0.667,0.937,0.552,32.773,21.479,24.696
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,25,410.0,82.77,0.771,0.994,0.951,0.633,29.94,19.067,22.848
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,26,24.0,23.414,0.992,-0.078,0.774,0.533,15.593,1.967,5.528
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,27,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,28,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,29,377.0,87.012,0.86,1.234,0.92,0.544,32.491,16.562,21.909
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,30,376.0,82.184,0.776,1.465,0.938,0.606,28.949,18.254,21.88
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,31,7.0,6.0,0.961,-0.168,0.875,0.7,5.672,1.561,2.985
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,32,405.0,85.184,0.601,0.178,0.935,0.582,27.203,21.735,22.708
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,33,445.0,89.841,0.703,0.7,0.955,0.589,29.921,21.273,23.803
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,34,53.0,39.142,0.982,-0.313,0.841,0.398,19.824,3.72,8.215
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,35,389.0,81.841,0.709,-0.43,0.951,0.583,28.058,19.777,22.255
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,36,408.0,86.012,0.688,0.085,0.929,0.572,28.521,20.702,22.792
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,37,355.0,87.154,0.9,0.977,0.927,0.414,34.486,15.048,21.26
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,38,549.0,101.497,0.731,1.037,0.94,0.581,34.201,23.343,26.439
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,39,54.0,36.42,0.98,0.556,0.857,0.281,19.179,3.841,8.292
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,40,223.0,65.113,0.852,1.4,0.953,0.635,24.65,12.904,16.85
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,41,115.0,46.042,0.881,-1.161,0.906,0.504,18.656,8.829,12.101
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,42,9.0,8.414,0.986,0.852,0.9,0.3,7.842,1.309,3.385
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,43,114.0,53.556,0.952,1.509,0.864,0.548,23.58,7.237,12.048
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,44,262.0,70.77,0.816,1.375,0.946,0.647,25.47,14.719,18.264
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,45,190.0,65.355,0.919,1.253,0.922,0.485,26.349,10.373,15.554
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,46,121.0,46.87,0.863,-1.177,0.917,0.531,18.349,9.279,12.412
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,47,41.0,26.935,0.95,0.862,0.837,0.373,13.441,4.179,7.225
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,48,3.0,1.0,1.0,1.571,1.0,1.0,3.266,0.0,1.954
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,49,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_right,void,50,37.0,28.899,0.979,1.38,0.771,0.462,15.759,3.204,6.864
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,part,0,38618.0,4237.159,0.14,-0.588,0.759,0.724,279.123,276.364,221.743
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,1,152.0,53.456,0.803,1.191,0.91,0.585,19.22,11.443,13.912
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,2,126.0,49.592,0.899,-1.31,0.887,0.545,20.471,8.955,12.666
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,3,354.0,89.012,0.902,-1.443,0.929,0.534,34.539,14.881,21.23
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,4,240.0,68.213,0.814,-1.512,0.927,0.6,24.56,14.265,17.481
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,5,163.0,55.941,0.89,0.887,0.916,0.505,22.73,10.382,14.406
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,bottom_right,void,6,264.0,79.906,0.94,-1.425,0.913,0.549,33.471,11.437,18.334
